country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Iceland,ISL,0.3951,0.3681,0.3455,0.3277,0.3146,0.3051,0.2974,0.2894,0.2798,0.2681,0.2549,0.2413,0.2289,0.2188,0.2112,0.2058
Singapore,SGP,0.4286,0.3916,0.3572,0.328,0.3053,0.2893,0.2794,0.2735,0.2695,0.2665,0.2637,0.2604,0.2566,0.2525,0.2478,0.2426
Hong Kong,HKG,0.4147,0.3911,0.3697,0.3511,0.335,0.3214,0.3098,0.2995,0.29,0.281,0.2722,0.2637,0.2555,0.2478,0.2407,0.2341
Sweden,SWE,0.4026,0.3946,0.3874,0.3792,0.3693,0.3578,0.3454,0.3334,0.3225,0.3129,0.3044,0.2962,0.2878,0.2788,0.269,0.2588
Finland,FIN,0.4285,0.415,0.4024,0.3904,0.3786,0.3669,0.3556,0.3448,0.3344,0.3242,0.3134,0.3013,0.2874,0.2717,0.2547,0.2372
Japan,JPN,0.4536,0.4335,0.415,0.3983,0.3835,0.3708,0.3598,0.35,0.3411,0.3328,0.3246,0.3166,0.3086,0.3007,0.2927,0.2848
Norway,NOR,0.4677,0.4545,0.4424,0.4303,0.4175,0.4038,0.3892,0.3744,0.3597,0.3452,0.3306,0.3155,0.2998,0.2835,0.2669,0.2507
Slovenia,SVN,0.5297,0.5077,0.4886,0.4711,0.4541,0.4369,0.4195,0.4021,0.3852,0.3689,0.3531,0.3381,0.3242,0.3114,0.2996,0.2889
Czech Republic,CZE,0.5616,0.527,0.4981,0.4726,0.4494,0.4277,0.4072,0.3884,0.3713,0.3558,0.3416,0.3288,0.3173,0.3072,0.2983,0.2904
Italy,ITA,0.5554,0.5253,0.4987,0.4753,0.4548,0.4372,0.4225,0.4102,0.3996,0.3901,0.3806,0.37,0.3578,0.3439,0.3283,0.3118
Spain,ESP,0.5443,0.5217,0.5015,0.483,0.4657,0.4492,0.4336,0.4189,0.4049,0.3916,0.3786,0.3657,0.3528,0.3399,0.327,0.3143
Germany,DEU,0.5377,0.5232,0.5097,0.497,0.4845,0.4725,0.4616,0.4522,0.444,0.4363,0.4276,0.4157,0.3996,0.379,0.3546,0.3278
